Date,Sales
12-08-2016,209.148
16-08-2016,161.28
21-08-2016,815.292
21-08-2016,2887.056
26-08-2016,447.84
27-08-2016,244.615
29-08-2016,241.92
02-09-2016,472.518
02-09-2016,568.728
05-09-2016,1652.94
08-09-2016,601.47
08-09-2016,146.04
10-09-2016,300.93
15-09-2016,1128.39
18-09-2016,383.438
25-09-2016,393.165
01-10-2016,330.588
04-10-2016,239.372
13-10-2016,727.45
16-10-2016,142.182
21-10-2016,661.176
03-11-2016,842.94
04-11-2016,876.3
05-11-2016,863.128
11-11-2016,2678.94
12-11-2016,674.352
15-11-2016,630.024
25-11-2016,1568.61
26-11-2016,313.176
27-11-2016,331.023
01-12-2016,366.009
03-12-2016,400.032
03-12-2016,581.96
03-12-2016,268.704
08-12-2016,1421.664
09-12-2016,79.974
09-12-2016,1056.86
11-12-2016,328.59
11-12-2016,892.136
13-12-2016,1114.272
15-12-2016,1652.94
15-12-2016,564.195
17-12-2016,2003.52
18-12-2016,377.45
19-12-2016,455.97
25-12-2016,1747.25
25-12-2016,35.445
25-12-2016,313.176
26-12-2016,902.712
02-01-2017,913.43
08-01-2017,892.98
16-01-2017,399.672
23-01-2017,210.98
30-01-2017,69.375
17-02-2017,480.96
17-02-2017,455.97
20-02-2017,386.91
03-03-2017,399.672
10-03-2017,933.408
11-03-2017,154.764
19-03-2017,697.16
27-03-2017,292.1
02-04-2017,411.8
07-04-2017,233.86
07-04-2017,620.6145
29-04-2017,1048.35
01-05-2017,933.262
03-05-2017,373.47
04-05-2017,300.904
09-05-2017,286.85
12-05-2017,285.48
23-05-2017,171.288
03-06-2017,384.768
09-06-2017,108.925
12-06-2017,452.94
15-06-2017,120.96
19-06-2017,457.485
25-06-2017,871.4
29-06-2017,307.314
30-06-2017,1044.63
03-07-2017,215.148
15-07-2017,310.443
15-07-2017,872.94
18-07-2017,801.6
21-07-2017,124.404
25-07-2017,138.588
25-07-2017,298.116
14-08-2017,418.296
21-08-2017,568.728
22-08-2017,210.008
22-08-2017,314.532
27-08-2017,1488.424
28-08-2017,1137.75
01-09-2017,283.56
02-09-2017,254.526
02-09-2017,236.528
04-09-2017,1322.352
04-09-2017,1478.272
08-09-2017,765.625
11-09-2017,512.19
15-09-2017,300.904
29-09-2017,344.22
02-10-2017,2314.116
03-10-2017,171.288
05-10-2017,206.352
07-10-2017,154.764
09-10-2017,652.45
09-10-2017,66.645
12-10-2017,673.344
13-10-2017,1504.52
15-10-2017,510.24
16-10-2017,1875.258
19-10-2017,24.368
19-10-2017,91.275
20-10-2017,284.364
21-10-2017,262.11
22-10-2017,177.225
22-10-2017,248.98
23-10-2017,240.744
23-10-2017,637.896
24-10-2017,517.405
26-10-2017,356.85
27-10-2017,189.576
30-10-2017,251.006
01-11-2017,2665.62
03-11-2017,1673.184
03-11-2017,486.368
04-11-2017,523.764
05-11-2017,166.5
06-11-2017,2036.86
07-11-2017,350.352
19-11-2017,219.075
19-11-2017,718.116
19-11-2017,79.974
21-11-2017,70.98
23-11-2017,127.785
24-11-2017,364.08
24-11-2017,71.088
26-11-2017,257.94
28-11-2017,2065.32
30-11-2017,1781.682
03-12-2017,521.96
08-12-2017,1004.024
09-12-2017,896.328
10-12-2017,1669.6
11-12-2017,721.875
14-12-2017,974.988
14-12-2017,526.582
22-12-2017,411.8
22-12-2017,182.55
22-12-2017,607.52
22-12-2017,934.956
25-12-2017,273.06
